last_season,current_club_id,country_of_citizenship,sub_position,foot,height_in_cm,agent_name,current_club_domestic_competition_id,highest_market_value_in_eur,valor_real,edad,contrato_restante,convocado,tempo_2018_titu,tempo_2019_titu,tempo_2020_titu,tempo_2021_titu,tempo_2022_titu,tempo_2023_titu,tempo_2024_titu,capitanias,temporada_2018_g,temporada_2019_g,temporada_2020_g,temporada_2021_g,temporada_2022_g,temporada_2023_g,temporada_2024_g,goles,asistencias,cambios,amarillas,club_id,stadium_seats,temporada_2018_a,temporada_2019_a,temporada_2020_a,temporada_2021_a,temporada_2022_a,temporada_2023_a,temporada_2024_a,jerarquia_rondas_CL,jerarquia_rondas_EL,jugador_ofensivo,efectividad
2024,12321,Netherlands,Centre-Back,left,180.0,SEG,ES1,25000000.0,2043699.4813916076,33.0,2.0,232.0,31.0,52.0,25.0,37.0,38.0,1.0,6.0,4.0,3.0,4.0,1.0,2.0,0.0,0.0,3.0,13.0,17.0,37.0,,12321,14624,3.0,3.0,2.0,3.0,2.0,2.0,2.0,,,0,0.12931034482758622
2019,1123,Norway,Defensive Midfield,right,181.0,,GB1,4000000.0,610639.6588065419,32.0,,47.0,1.0,12.0,17.0,7.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1.0,1123,27244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0425531914893617
2019,398,Belgium,Goalkeeper,right,184.0,,IT1,4200000.0,122127.93176130838,35.0,,107.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,398,70634,,,,,,,,,,0,
2021,252,North Macedonia,Second Striker,left,184.0,,IT1,18000000.0,480672.57247717254,37.0,,153.0,19.0,12.0,18.0,16.0,0.0,0.0,0.0,5.0,6.0,5.0,7.0,6.0,0.0,0.0,0.0,24.0,11.0,32.0,,252,34901,2.0,3.0,4.0,2.0,0.0,0.0,0.0,,,1,0.22875816993464052
2018,873,Argentina,Goalkeeper,right,186.0,,GB1,1500000.0,310477.41304541513,38.0,,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,873,25486,,,,,,,,,,0,
2018,38,Czech Republic,Goalkeeper,right,192.0,,L1,5500000.0,62095.48260908303,38.0,,29.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,38,54600,,,,,,,,,,0,
2023,6574,Italy,Goalkeeper,right,184.0,GB1,IT1,20000000.0,1621435.1312107607,28.0,2.0,204.0,38.0,20.0,30.0,38.0,20.0,2.0,0.0,1.0,,,,,,,,,,,1.0,6574,21584,,,,,,,,,,0,
2021,985,England,Goalkeeper,right,193.0,,GB1,1000000.0,300420.3577982328,37.0,,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,985,74879,,,,,,,,,,0,
2019,29,England,Left-Back,left,170.0,Gary Porter,GB1,22000000.0,1954046.9081809341,34.0,,71.0,12.0,4.0,3.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,3.0,2.0,,29,39414,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0,
2020,350,England,Centre-Back,right,180.0,CAA Stellar,GB1,12000000.0,240785.56642110983,37.0,3.0,107.0,13.0,4.0,4.0,6.0,2.0,1.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,,350,32702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.028037383177570093
2021,1010,England,Goalkeeper,left,193.0,,GB1,5500000.0,360504.4293578794,37.0,2.0,127.0,40.0,38.0,18.0,8.0,18.0,0.0,0.0,2.0,,,,,,,,,1.0,,,1010,21577,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0,
2019,989,England,Right-Back,right,191.0,,GB1,2500000.0,977023.4540904671,33.0,,54.0,28.0,4.0,7.0,0.0,0.0,0.0,0.0,37.0,,,,,,,,,4.0,,,989,11307,3.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,
2023,29,England,Goalkeeper,left,193.0,,GB1,700000.0,108095.67541405071,39.0,2.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,29,39414,,,,,,,,,,0,
2024,29,England,Right-Back,both,175.0,CAA Base Ltd,GB1,27000000.0,510924.8703479019,38.0,1.0,249.0,33.0,33.0,32.0,18.0,13.0,15.0,4.0,49.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,13.0,20.0,49.0,5.0,29,39414,5.0,1.0,7.0,4.0,0.0,0.0,3.0,,,0,0.13253012048192772
2021,1132,England,Right Winger,right,165.0,CAA Base Ltd,GB1,21000000.0,721008.8587157588,33.0,,139.0,31.0,3.0,11.0,27.0,16.0,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,9.0,37.0,1.0,1132,21994,3.0,0.0,1.0,5.0,0.0,0.0,0.0,,,1,0.08633093525179857
2018,42,Switzerland,Defensive Midfield,right,178.0,,L1,6000000.0,993527.7217453285,30.0,,44.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,7.0,15.0,1.0,42,49000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,
2024,281,England,Goalkeeper,right,188.0,Wasserman,GB1,6000000.0,204369.94813916076,38.0,1.0,87.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,281,55097,,,,,,,,,,0,
2018,1390,Croatia,Right-Back,right,182.0,ProStar,IT1,17500000.0,993527.7217453285,35.0,,35.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,4.0,1.0,,1390,16365,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0,
2018,167,Germany,Centre-Back,right,185.0,,L1,800000.0,124190.96521816606,32.0,,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,,167,30660,,,,,,,,,,0,
2019,989,Poland,Goalkeeper,right,193.0,Wasserman,GB1,12000000.0,61063.96588065419,38.0,,110.0,2.0,13.0,4.0,10.0,0.0,0.0,0.0,2.0,,,,,,,,,,,2.0,989,11307,,,,,,,,,,0,
2024,1050,Spain,Centre-Back,right,190.0,RGFOOTBALL,ES1,18000000.0,1328404.662904545,38.0,1.0,226.0,37.0,22.0,39.0,49.0,36.0,11.0,4.0,82.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,9.0,1.0,18.0,1.0,1050,23500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0,0.04424778761061947
2021,1132,Scotland,Right-Back,right,180.0,,GB1,6000000.0,90126.10733946985,35.0,2.0,150.0,16.0,20.0,16.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1132,21994,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,0.013333333333333334
2019,1050,Spain,Central Midfield,both,168.0,IFM,ES1,30000000.0,610639.6588065419,34.0,4.0,84.0,7.0,35.0,19.0,0.0,0.0,0.0,0.0,14.0,2.0,11.0,9.0,0.0,0.0,0.0,0.0,22.0,22.0,21.0,2.0,1050,23500,5.0,10.0,7.0,0.0,0.0,0.0,0.0,,,0,0.5238095238095238
